incident_id,full_legal_name,sex,home_address_blocklevel,home_neighborhood,home_zip,phone_number,incident_date,incident_time,incident_time_of_day,location,incident_city,police_agency,incident_category,resolution,incident_description,injury_severity,injury_body_part,witnesses_count,body_worn_camera,transported_to,ems_agency,alcohol_or_drugs_suspected,collision_type,driver_at_fault,insurance_info,cad_event_id,officer_badge,victim_age
2025-SF-966156,Ashley Allen,F,"1600 block of Folsom St, San Francisco, CA 94124",Mission,94102,(628) 555-0165,2025-09-25,11:30,Morning,"Geary Blvd & 24th St, San Francisco, CA 94117",San Francisco,SFPD,Assault - Non-Aggravated,Open or Active Investigation,"Assault - Non-Aggravated occurred at Geary Blvd & 24th St, San Francisco, CA 94117. She sustained moderate injury to the neck. Transported to UCSF Parnassus by SFFD EMS. Body-worn camera available.",Moderate,neck,1,Yes,UCSF Parnassus,SFFD EMS,No,,,Provided - Other party carrier: Liberty Mutual; Coverage: Rideshare TNC coverage; Policy: 546-81XX-3236 (masked); Claim#: CLM803581,CAD650646260,65038,72
2025-B-494710,Quyen Dang,F,"2000 block of San Pablo Ave, Berkeley, CA 94702",Elmwood,94703,(510) 555-0192,2025-09-01,18:20,Evening,"Telegraph Ave & San Pablo Ave, Berkeley, CA 94702",Berkeley,BPD,Assault - Non-Aggravated,Citation Issued,"Assault - Non-Aggravated occurred at Telegraph Ave & San Pablo Ave, Berkeley, CA 94702. She sustained moderate injury to the wrist. Transported to San Mateo Medical Center by AMR. Body-worn camera available.",Moderate,wrist,4,No,San Mateo Medical Center,AMR,No,,,Provided - Other party carrier: Liberty Mutual; Coverage: Commercial policy; Policy: 529-15XX-3043 (masked); Claim#: CLM520963,CAD507049147,94280,70
2025-SM-973266,Jose Sanchez,M,"1100 block of Hillsdale Blvd, San Mateo, CA 94403",Downtown,94401,(650) 555-0136,2025-09-03,19:20,Evening,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402",San Mateo,SMPD,Assault - Aggravated,Open or Active Investigation,"Assault - Aggravated occurred at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402. He sustained minor injury to the hand. Body-worn camera not available.",Minor,hand,1,Yes,,,No,,,Provided - Other party carrier: Liberty Mutual; Coverage: Commercial policy; Policy: 691-95XX-8865 (masked); Claim#: CLM580178,CAD177478282,93402,36
2025-B-858046,Daniel Taylor,M,"1700 block of Telegraph Ave, Berkeley, CA 94710",West Berkeley,94702,(510) 555-0168,2025-09-05,21:25,Evening,"University Ave & Telegraph Ave, Berkeley, CA 94703",Berkeley,BPD,Assault - Non-Aggravated,Open or Active Investigation,"Assault - Non-Aggravated occurred at University Ave & Telegraph Ave, Berkeley, CA 94703. He sustained moderate injury to the knee. Transported to San Mateo Medical Center by AMR. Body-worn camera available.",Moderate,knee,4,No,San Mateo Medical Center,AMR,Yes,,,Provided - Other party carrier: Mercury; Coverage: Full coverage; Policy: 727-24XX-3434 (masked); Claim#: CLM215728,CAD391401147,84723,49
2025-B-324555,Emily Johnson,F,"1800 block of Ashby Ave, Berkeley, CA 94704",Elmwood,94704,(510) 555-0171,2025-09-07,07:00,Morning,"San Pablo Ave & Ashby Ave, Berkeley, CA 94702",Berkeley,BPD,Construction Site Accident,Report Taken,"Construction Site Accident occurred at San Pablo Ave & Ashby Ave, Berkeley, CA 94702. She sustained minor injury to the shoulder. Body-worn camera available.",Minor,shoulder,0,Yes,,,No,,,Provided - Other party carrier: Farmers; Coverage: Rideshare TNC coverage; Policy: 861-15XX-4877 (masked); Claim#: CLM945515,CAD739115099,72169,61
2025-RC-174232,Francis Ramos,M,"1900 block of El Camino Real, Redwood City, CA 94061",Downtown,94063,(650) 555-0108,2025-09-14,07:00,Morning,"Jefferson Ave & El Camino Real, Redwood City, CA 94061",Redwood City,RWC PD,Rideshare Incident (Uber/Lyft),Unfounded,"Rideshare Incident (Uber/Lyft) reported at Jefferson Ave & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the knee. Body-worn camera available.",Minor,knee,5,No,,,No,,,Provided - Other party carrier: Nationwide; Coverage: Full coverage; Policy: 255-25XX-9214 (masked); Claim#: CLM350458,CAD475377513,2226,70
2025-SM-691816,Arjun Shah,M,"1500 block of El Camino Real, San Mateo, CA 94403",Downtown,94403,(650) 555-0189,2025-09-23,03:55,Night,"El Camino Real & Hillsdale Blvd, San Mateo, CA 94403",San Mateo,SMPD,Traffic Collision - Vehicle vs Bicycle,Citation Issued,"Traffic Collision - Vehicle vs Bicycle reported at El Camino Real & Hillsdale Blvd, San Mateo, CA 94403. He sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by Falck. Body-worn camera available.",Severe,hip,3,No,Santa Clara Valley Medical Center,Falck,No,Head-on,Yes,Provided - Claimant carrier: AAA (CSAA); Coverage: Full coverage; Policy: 131-61XX-2032 (masked); Claim#: CLM628726,CAD700660221,79933,82
2025-RC-729796,Alex Hall,X,"100 block of Woodside Rd, Redwood City, CA 94061",Palm Park,94063,(650) 555-0146,2025-09-22,22:50,Evening,"Broadway & Woodside Rd, Redwood City, CA 94061",Redwood City,RWC PD,Transit Incident - Muni,Report Taken,"Transit Incident - Muni reported at Broadway & Woodside Rd, Redwood City, CA 94061. They sustained minor injury to the knee. Body-worn camera available.",Minor,knee,1,No,,,No,,,Provided - Claimant carrier: AAA (CSAA); Coverage: Commercial policy; Policy: 813-10XX-5023 (masked); Claim#: CLM125934,CAD607033621,71595,80
2025-B-201385,Olivia King,F,"1000 block of San Pablo Ave, Berkeley, CA 94703",Elmwood,94703,(510) 555-0129,2025-09-11,20:00,Evening,"Telegraph Ave & Ashby Ave, Berkeley, CA 94702",Berkeley,BPD,Transit Incident - BART,Citation Issued,"Transit Incident - BART reported at Telegraph Ave & Ashby Ave, Berkeley, CA 94702. She sustained moderate injury to the leg. Transported to Highland Hospital (Oakland) by SFFD EMS. Body-worn camera available.",Moderate,leg,2,Yes,Highland Hospital (Oakland),SFFD EMS,No,,,Provided - Claimant carrier: AAA (CSAA); Coverage: Non-owner policy; Policy: 848-99XX-9205 (masked); Claim#: CLM396732,CAD315725963,29024,70
2025-B-375278,Maria Sanchez,F,"200 block of Telegraph Ave, Berkeley, CA 94705",West Berkeley,94705,(510) 555-0199,2025-09-25,17:40,Afternoon,"San Pablo Ave & Telegraph Ave, Berkeley, CA 94703",Berkeley,BPD,Assault - Aggravated,Citation Issued,"Assault - Aggravated occurred at San Pablo Ave & Telegraph Ave, Berkeley, CA 94703. She sustained minor injury to the knee. Body-worn camera available.",Minor,knee,1,Yes,,,No,,,Provided - Other party carrier: GEICO; Coverage: Non-owner policy; Policy: 637-35XX-1709 (masked); Claim#: CLM708961,CAD443908988,66656,48
